scenario,brushes,mode,samples,mean_ms,median_ms,p95_ms,drag_ms,events_ms
baseline,1,normal,360,1.515888,1.220150,3.173200,0.628957,0.886930
baseline,1,outward,360,1.057558,0.921400,1.868800,0.349655,0.707904
baseline,1,inward,360,1.273937,1.122900,2.177400,0.444632,0.829304
baseline,64,normal,360,1.859144,1.583900,3.606800,0.807207,1.051936
baseline,64,outward,360,1.308514,1.059150,2.527500,0.461614,0.846900
baseline,64,inward,360,1.447094,1.224650,2.711700,0.524756,0.922338
skip-tree-selection,1,normal,360,2.542790,1.653750,7.807300,1.192034,1.350756
skip-tree-selection,1,outward,360,1.432546,1.099600,3.405300,0.483829,0.948717
skip-tree-selection,1,inward,360,1.465344,1.153600,3.251900,0.506725,0.958619
skip-tree-selection,64,normal,360,1.918247,1.575650,3.733100,0.833199,1.085048
skip-tree-selection,64,outward,360,1.946297,1.099400,7.739200,0.701356,1.244940
skip-tree-selection,64,inward,360,1.428045,1.226250,2.543900,0.516840,0.911205
skip-property-rebuild,1,normal,360,1.804907,1.343850,4.517700,0.769223,1.035684
skip-property-rebuild,1,outward,360,1.632768,1.186400,3.808300,0.557811,1.074957
skip-property-rebuild,1,inward,360,1.148992,1.007450,2.114100,0.387468,0.761524
skip-property-rebuild,64,normal,360,1.780356,1.439950,3.749400,0.735903,1.044453
skip-property-rebuild,64,outward,360,1.301265,1.153500,2.341800,0.463792,0.837473
skip-property-rebuild,64,inward,360,1.251428,1.090850,2.377900,0.452687,0.798741
skip-both,1,normal,360,1.609324,1.324550,3.211900,0.655758,0.953567
skip-both,1,outward,360,1.249128,1.049500,2.519400,0.419866,0.829262
skip-both,1,inward,360,1.335926,1.083500,2.927500,0.477758,0.858168
skip-both,64,normal,360,1.647346,1.415150,3.293500,0.698021,0.949325
skip-both,64,outward,360,1.158180,1.010200,2.057500,0.405354,0.752826
skip-both,64,inward,360,1.317977,1.137250,2.425600,0.477789,0.840188
model,1,normal,360,0.054613,0.046850,0.105400,0.054349,0.000264
model,1,outward,360,0.084384,0.068200,0.177400,0.084106,0.000278
model,1,inward,360,0.093654,0.088700,0.145000,0.093413,0.000241
model,64,normal,360,0.066879,0.052600,0.140700,0.066588,0.000291
model,64,outward,360,0.087881,0.084000,0.140000,0.087596,0.000285
model,64,inward,360,0.109452,0.105400,0.141900,0.109206,0.000246
