brushes,mode,scope,calls_per_step,inclusive_ms_per_step,exclusive_ms_per_step,exclusive_percent
1,normal,Brush.copy.faces,1.000,0.000683,0.000683,0.045
1,normal,Brush.copy.geometry,1.000,0.009829,0.009829,0.648
1,normal,Brush::moveBoundary,1.000,0.034897,0.034897,2.302
1,normal,BrushRenderer::validate,1.000,0.009853,0.003648,0.241
1,normal,BrushRenderer::validateBrush,1.000,0.006205,0.006205,0.409
1,normal,CommandProcessor::executeAndStore,1.000,0.136694,0.029812,1.967
1,normal,CommandProcessor::rollbackTransaction,1.000,0.325153,0.006623,0.437
1,normal,CommandProcessor::undoCommand,1.000,0.203067,0.064167,4.233
1,normal,EntityPropertyGrid::updateControls,2.000,0.006622,0.006622,0.437
1,normal,ExtrudeTool::extrude,1.000,0.613288,0.002542,0.168
1,normal,FaceAttribsEditor::updateControls,1.000,0.154497,0.154497,10.192
1,normal,Map::nodesDidChange,2.000,0.008778,0.008778,0.579
1,normal,Map::nodesWillChange,2.000,0.002510,0.002510,0.166
1,normal,Map::rollbackTransaction,1.000,0.330243,0.005090,0.336
1,normal,MapDocument::transactionDone,1.000,0.082855,0.067907,4.480
1,normal,MapDocument::transactionUndone,1.000,0.115462,0.096789,6.385
1,normal,MapRenderer::nodesDidChange,2.000,0.005504,0.005504,0.363
1,normal,MapViewBase::renderContents,1.000,0.418257,0.408404,26.941
1,normal,MapViewBase::updateActionStates,8.000,0.015232,0.015232,1.005
1,normal,OutlinerEntityPropertyEditor::refreshEmbeddedEditors,2.000,0.000563,0.000563,0.037
1,normal,OutlinerEntityPropertyEditor::refreshVisiblePropertyValues,2.000,0.214343,0.214343,14.140
1,normal,Qt.MetaCall,4.000,0.153199,0.153199,10.106
1,normal,Qt.Paint,1.000,0.443317,0.017911,1.182
1,normal,Qt.Timer,1.231,0.234005,0.041580,2.743
1,normal,Qt.UpdateRequest,1.000,0.454829,0.011512,0.759
1,normal,RenderView::paintGL,1.000,0.425406,0.000708,0.047
1,normal,RenderView::render,1.000,0.424698,0.006441,0.425
1,normal,ToolBoxConnector::updatePickResult,8.000,0.011767,0.011767,0.776
1,normal,doSwapNodeContents,2.000,0.245782,0.014083,0.929
1,normal,drag,1.000,0.628468,0.003949,0.260
1,normal,events_and_render,1.000,0.886031,0.081926,5.404
1,normal,extrudeBrushes,1.000,0.280503,0.004390,0.290
1,normal,frame,1.000,1.515916,0.001417,0.094
1,normal,input.pick,1.000,0.011231,0.011231,0.741
1,normal,updateNodeContents,1.000,0.230704,0.011155,0.736
1,outward,Brush.copy,1.000,0.010112,0.000865,0.082
1,outward,Brush.copy.faces,1.000,0.000638,0.000638,0.060
1,outward,Brush.copy.geometry,1.000,0.008608,0.008608,0.814
1,outward,Brush::clip,1.000,0.020917,0.020917,1.978
1,outward,Brush::moveBoundary,1.000,0.028718,0.028718,2.715
1,outward,BrushRenderer::validate,1.000,0.008404,0.003167,0.299
1,outward,BrushRenderer::validateBrush,1.000,0.005236,0.005236,0.495
