scenario,brushes,mode,samples,mean_ms,median_ms,p95_ms,drag_ms,events_ms
baseline,1,normal,360,1.952686,1.529500,4.210200,0.849571,1.103115
baseline,1,outward,360,12.739811,10.101600,29.061400,4.511319,8.228493
baseline,1,inward,360,10.769826,9.847250,16.430500,3.879590,6.890237
baseline,64,normal,360,1.713376,1.513300,3.103500,0.752729,0.960646
baseline,64,outward,360,24.260767,19.300650,50.919300,7.765832,16.494940
baseline,64,inward,360,24.797786,20.515600,51.170200,9.510356,15.287429
skip-tree-selection,1,normal,360,2.132487,1.374750,6.667400,0.963289,1.169198
skip-tree-selection,1,outward,360,9.410928,8.770900,14.830800,1.609803,7.801125
skip-tree-selection,1,inward,360,9.467316,8.543050,14.721100,1.877555,7.589761
skip-tree-selection,64,normal,360,1.389509,1.229150,2.440500,0.587447,0.802061
skip-tree-selection,64,outward,360,15.313389,13.779450,22.133300,3.220484,12.092904
skip-tree-selection,64,inward,360,18.016409,14.362800,42.602900,3.835613,14.180797
skip-property-rebuild,1,normal,360,1.693345,1.412400,3.298000,0.699428,0.993917
skip-property-rebuild,1,outward,360,9.353374,7.850450,16.689500,3.847806,5.505567
skip-property-rebuild,1,inward,360,10.044434,7.863300,19.966200,4.594058,5.450377
skip-property-rebuild,64,normal,360,1.790901,1.322900,3.826100,0.805489,0.985412
skip-property-rebuild,64,outward,360,16.209716,15.019350,22.177400,6.041858,10.167858
skip-property-rebuild,64,inward,360,17.937601,15.860700,25.614800,7.965192,9.972409
skip-both,1,normal,360,2.092886,1.346300,5.693500,0.934324,1.158562
skip-both,1,outward,360,5.570069,5.262750,8.357300,1.209934,4.360134
skip-both,1,inward,360,6.123349,5.362550,9.047700,1.619055,4.504294
skip-both,64,normal,360,1.790336,1.487600,3.653800,0.794667,0.995669
skip-both,64,outward,360,13.975273,12.353650,22.202100,3.409384,10.565890
skip-both,64,inward,360,15.110474,12.700050,28.148200,3.813250,11.297224
model,1,normal,360,0.045317,0.042100,0.061600,0.045079,0.000238
model,1,outward,360,0.096704,0.081600,0.155300,0.096446,0.000258
model,1,inward,360,0.142529,0.121400,0.265300,0.142239,0.000291
model,64,normal,360,0.058289,0.047850,0.110800,0.057999,0.000290
model,64,outward,360,0.121625,0.099200,0.229900,0.121353,0.000272
model,64,inward,360,0.144687,0.130850,0.221000,0.144407,0.000280
