brushes,mode,scope,calls_per_step,inclusive_ms_per_step,exclusive_ms_per_step,exclusive_percent
1,normal,Brush.copy.faces,1.000,0.000850,0.000850,0.044
1,normal,Brush.copy.geometry,1.000,0.011102,0.011102,0.569
1,normal,Brush::moveBoundary,1.000,0.034682,0.034682,1.776
1,normal,BrushRenderer::validate,1.000,0.010652,0.003806,0.195
1,normal,BrushRenderer::validateBrush,1.000,0.006846,0.006846,0.351
1,normal,CommandProcessor::executeAndStore,1.000,0.213506,0.070504,3.611
1,normal,CommandProcessor::rollbackTransaction,1.000,0.431922,0.007685,0.394
1,normal,CommandProcessor::undoCommand,1.000,0.274214,0.117487,6.017
1,normal,EntityPropertyGrid::updateControls,2.000,0.006837,0.006837,0.350
1,normal,ExtrudeTool::extrude,1.000,0.833152,0.002800,0.143
1,normal,FaceAttribsEditor::updateControls,1.000,0.182934,0.182934,9.368
1,normal,Map::nodesDidChange,2.000,0.009462,0.009462,0.485
1,normal,Map::nodesWillChange,2.000,0.002878,0.002878,0.147
1,normal,Map::rollbackTransaction,1.000,0.437347,0.005425,0.278
1,normal,MapDocument::transactionDone,1.000,0.115701,0.100121,5.127
1,normal,MapDocument::transactionUndone,1.000,0.150023,0.130126,6.664
1,normal,MapRenderer::nodesDidChange,2.000,0.005972,0.005972,0.306
1,normal,MapViewBase::renderContents,1.000,0.441608,0.430956,22.070
1,normal,MapViewBase::updateActionStates,8.000,0.015814,0.015814,0.810
1,normal,OutlinerEntityPropertyEditor::refreshEmbeddedEditors,2.000,0.000668,0.000668,0.034
1,normal,OutlinerEntityPropertyEditor::refreshVisiblePropertyValues,2.000,0.264768,0.264768,13.559
1,normal,Qt.MetaCall,4.000,0.193822,0.193822,9.926
1,normal,Qt.Paint,1.000,0.484406,0.035327,1.809
1,normal,Qt.Timer,1.286,0.296579,0.058875,3.015
1,normal,Qt.UpdateRequest,1.000,0.497662,0.013256,0.679
1,normal,RenderView::paintGL,1.000,0.449079,0.000667,0.034
1,normal,RenderView::render,1.000,0.448412,0.006804,0.348
1,normal,ToolBoxConnector::updatePickResult,8.000,0.012825,0.012825,0.657
1,normal,doSwapNodeContents,2.000,0.299730,0.015983,0.819
1,normal,drag,1.000,0.849076,0.003431,0.176
1,normal,events_and_render,1.000,1.102006,0.168712,8.640
1,normal,extrudeBrushes,1.000,0.393006,0.004838,0.248
1,normal,frame,1.000,1.952701,0.001619,0.083
1,normal,input.pick,1.000,0.012493,0.012493,0.640
1,normal,updateNodeContents,1.000,0.341534,0.012326,0.631
1,outward,Brush.copy,1.000,0.016388,0.001453,0.011
1,outward,Brush.copy.faces,1.000,0.001254,0.001254,0.010
1,outward,Brush.copy.geometry,1.000,0.013682,0.013682,0.107
1,outward,Brush::clip,1.000,0.023203,0.023203,0.182
1,outward,Brush::moveBoundary,1.000,0.038517,0.038517,0.302
1,outward,BrushRenderer::addBrush,5.000,0.007394,0.003983,0.031
1,outward,BrushRenderer::invalidate,6.000,0.004787,0.004787,0.038
1,outward,BrushRenderer::removeBrush,5.000,0.005484,0.004108,0.032
1,outward,BrushRenderer::validate,2.000,0.028673,0.007629,0.060
1,outward,BrushRenderer::validateBrush,2.000,0.021044,0.021044,0.165
1,outward,CommandProcessor::executeAndStore,5.000,1.698060,0.164773,1.293
1,outward,CommandProcessor::rollbackTransaction,1.000,2.540716,0.017092,0.134
1,outward,CommandProcessor::undoCommand,3.000,2.361274,0.430597,3.380
1,outward,EntityPropertyGrid::updateControls,6.000,0.022642,0.022642,0.178
1,outward,ExtrudeTool::extrude,1.000,4.483026,0.000839,0.007
1,outward,FaceAttribsEditor::updateControls,1.000,0.206834,0.206834,1.624
1,outward,Map::nodesWereAdded,1.000,0.007737,0.007737,0.061
1,outward,Map::nodesWereRemoved,1.000,0.003521,0.003521,0.028
1,outward,Map::nodesWillBeRemoved,1.000,0.003044,0.003044,0.024
1,outward,Map::rollbackTransaction,1.000,2.549818,0.009102,0.071
1,outward,Map::selectionDidChange,4.000,0.008850,0.008850,0.069
1,outward,Map::selectionWillChange,4.000,0.000825,0.000825,0.006
1,outward,MapDocument::transactionDone,1.000,0.114224,0.096600,0.758
1,outward,MapDocument::transactionUndone,1.000,0.162350,0.142577,1.119
1,outward,MapRenderer::nodesWereAdded,1.000,0.002085,0.001181,0.009
1,outward,MapRenderer::nodesWereRemoved,1.000,0.002370,0.001226,0.010
1,outward,MapRenderer::selectionDidChange,4.000,0.021809,0.010979,0.086
1,outward,MapViewBase::renderContents,1.000,0.594591,0.565917,4.442
1,outward,MapViewBase::selectionDidChange,16.000,0.089792,0.033970,0.267
1,outward,MapViewBase::updateActionStates,24.000,0.046543,0.046543,0.365
1,outward,MapWindow::selectionDidChange,4.000,0.247317,0.247317,1.941
1,outward,MapWindow::updateActionState,1.000,0.033014,0.033014,0.259
1,outward,OutlinerEntityPropertyEditor::rebuildPropertyRows,1.000,1.948924,1.741056,13.666
1,outward,OutlinerEntityPropertyEditor::updateFromSelection,1.000,1.956757,0.007833,0.061
1,outward,OutlinerTreeWidget::onDocumentSelectionChanged,4.000,2.518344,0.005261,0.041
1,outward,OutlinerTreeWidget::refreshTreeParents,2.000,0.227186,0.108217,0.849
1,outward,OutlinerTreeWidget::setupTreeItem,5.000,0.102938,0.102938,0.808
1,outward,OutlinerTreeWidget::syncSelectionFromDocument,6.000,2.529114,2.529114,19.852
1,outward,Qt.LayoutRequest,2.000,0.001151,0.001151,0.009
1,outward,Qt.MetaCall,11.000,2.357144,0.400387,3.143
1,outward,Qt.Paint,19.000,2.698146,2.090974,16.413
1,outward,Qt.Polish,7.000,0.510302,0.510302,4.006
1,outward,Qt.PolishRequest,7.000,0.316630,0.014196,0.111
1,outward,Qt.Timer,4.664,1.127294,0.570692,4.480
1,outward,Qt.UpdateRequest,1.000,4.338822,1.640676,12.878
1,outward,RenderView::paintGL,1.000,0.607172,0.000982,0.008
1,outward,RenderView::render,1.000,0.606190,0.011599,0.091
1,outward,ToolBoxConnector::updatePickResult,24.000,0.039775,0.039775,0.312
1,outward,addNodes,1.000,0.424115,0.019517,0.153
1,outward,addNodesAndNotify,1.000,0.134414,0.006483,0.051
1,outward,deselectAll,1.000,0.414482,0.004946,0.039
1,outward,drag,1.000,4.510768,0.006209,0.049
1,outward,events_and_render,1.000,8.226909,0.402621,3.160
1,outward,frame,1.000,12.739847,0.002170,0.017
1,outward,input.pick,1.000,0.021534,0.021534,0.169
